localization; username      ; language	; content
Paris       ; jean.dupond   ; ANGLAIS 	; this is a message text with #someHashtags
London      ; john.doe      ; FRANCAIS	; Le @RCLens retrouve sa place qui est la sienne…dans l’élite du football françaisSmiling face with open mouth !!! Le peuple sang et or va ENFIN revivre les chaudes soirées de @Ligue1Conforama et SURTOUT le #Derby Flexed biceps CA VA FAIRE DU BRUIT #LensoisPourToujours #LensEnLigue1
New York    ; rick.martin   ; ANGLAIS 	; We just launched our #Kickstarter pre-launch page!Party popper https://kickstarter.com/projects/burgosgames/neko-ghost-jump Right pointing backhand indexFollow on the KS page and be one of the first to get the cheap as dirt 24hr digital key reward!Flexed biceps Folded handsRT pls #indiegame #linux #gaming #UE4 #UnrealEngine #nintendoswitch #xbox #playstation #indiedev
Miami       ; paul.martin   ; ANGLAIS 	; XRP Toolkit v2 expands Xumm's feature set even beyond the XRP Ledger DEX. You'll be able to create escrows, adjust account settings and see details about a destination account even before sending a payment.
Los Angeles ; aadesh.patel  ; ANGLAIS 	; I've been fooling around with a Kuwahara Filter mixed with Pop Art style shadows in #UE4. Kind of a cool aesthetic.
Bombay      ; marc.martin   ; ANGLAIS 	; Definitely the clearest, and most starter-friendly summary of how to configure your @typescript project with #ESLint  now that #TSLint is deprecated.  Awesome job @RoberCooper_RC - thank you!Folded handsThumbs upThumbs up @geteslint @tslint
London      ; marc.henry    ; ANGLAIS 	; Asynchronous RDBMS access with #Spring Data R2DBC | #Java Code Geeks - 2020
New York    ; fred.henry    ; ANGLAIS 	; The lockdown restrictions have caused delays to mission Mars. While NASA has closed rocket production facilities, a joint Russian-European mission to send a rover to Mars has been postponed by two years
Miami       ; jules.julien  ; ANGLAIS 	; Real User Monitoring vs. Synthetic Monitoring: which one���s best for you? | #Java Code Geeks - 2020
Los Angeles ; aarush.laghari; ANGLAIS 	; #BREAKING Democrat Joe Biden says he'll keep US embassy in Jerusalem if elected president
Bombay      ; ean.dupond    ; ANGLAIS 	; Missed the live demo at #RHSummit from @burrsutter today? Watch it on-demand here. #K8s  #hybridcloud #Kubernetes.
Paris       ; john.doe      ; ANGLAIS 	; Did you know about all of these for the iPhone SE?
London      ; rick.martin   ; FRANCAIS	; Pourquoi le discours d'Elizabeth II à son peuple le 8 mai devrait être historique #ElizabertII #Discours #People #Société #UK #Reine https://madame.lefigaro.fr/celebrites/elizabeth-ii-sadressera-aux-britanniques-le-8-mai-discours-historique-coronavirus-guerre-mondiale-290420-180870?utm_medium=SocialMadame&utm_source=Twitter#Echobox=1588175975
New York    ; paul.martin   ; ANGLAIS 	; #BREAKING #CoronavirusPandemic  'poses considerable risks' to US economy, US Federal Reserve says, as it leaves key interest rate at zero
Miami       ; aadesh.patel  ; ANGLAIS 	; #BREAKING Facebook earnings climb amid user growth during #CoronavirusPandemic stock jumps
Los Angeles ; marc.martin   ; ANGLAIS 	; #UPDATE Fed Chair Jerome Powell warned that economic activity will likely drop at a unprecedented rate in the second quarter at a rate worse than we've seen and accompanied by high unemployment
Bombay      ; marc.henry    ; ANGLAIS 	; From @Breakingviews : Americans will never fill movie theaters again https://reut.rs/2zIks46 @jennifersaba
Paris       ; fred.henry    ; ANGLAIS 	; this is a message text with #someHashtags
London      ; jules.julien  ; ANGLAIS 	; Google Home app may soon let you set a separate volume level for the Google Assistant
New York    ; aarush.laghari; ANGLAIS 	; With streaming services gaining traction, the notion that America’s cinemas will fill up again post-outbreak may be as quaint as a silent film, writes @jennifersaba https://bit.ly/2W82W0K
Miami       ; ean.dupond    ; ANGLAIS 	; U.S. coronavirus outbreak soon to be deadlier than any flu since 1967 as deaths top 60,000 https://reuters.com/article/us-health-coronavirus-usa-casualties-idUSKBN22B32C?taid=5ea9ecb306bb9b0001402d9b&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter
Los Angeles ; john.doe      ; ANGLAIS 	; More than 1,300 #COVID19 cases, including one death, have been linked to Cargill and JBS processing plants in the western province of Alberta, which supply 70 percent of Canada's meat
Bombay      ; rick.martin   ; ANGLAIS 	; Monitoring an #ADF Application in a Docker Container, Easy Way | #Java Code Geeks - 2020
Paris       ; paul.martin   ; ANGLAIS 	; #BREAKING #CoronavirusPandemic  'poses considerable risks' to US economy, US Federal Reserve says, as it leaves key interest rate at zero
Paris       ; aadesh.patel  ; ANGLAIS 	; #UPDATE Facebook shares jumped some 10 percent after it reported profit of $4.9 billion on revenue that grew 17 percent during the first trimester, but warned of 'unprecedented uncertainty' about the future due to the #COVID-19 pandemic
Paris       ; marc.martin   ; FRANCAIS	; Avec la crise du #COVID19 et ses mesures de confinement, la période est difficile pour l’économie. + que jamais les citoyens ont besoin d’être informés au plus près. La presse locale joue alors un rôle majeur. Bcp ont compris qu’il faut la soutenir. Alors merci pour ça Arrow pointing rightwards then curving downwards Clapping hands sign #PHR
New York    ; marc.henry    ; ANGLAIS 	; Your Phone app on Windows 10 tests controlling music playback on your Android device
Los Angeles ; fred.henry    ; ANGLAIS 	; Streaming-only movies will be eligible to compete in 2021 Academy Awards for the first time https://reut.rs/2WnckOf
Paris       ; jules.julien  ; ANGLAIS 	; #BREAKING COVID-19: Gilead Sciences reports positive data from trial of antiviral drug #remdesivir
Paris       ; aarush.laghari; ANGLAIS 	; #UPDATE 'The data shows that #remdesivir has a ... positive effect in diminishing the time to recovery,' said top US allergy and infectious disease specialist Anthony Fauci, adding that it proves 'that a drug can block' the novel #coronavirus
Paris       ; ean.dupond    ; ANGLAIS 	; #UPDATE #COVID-19 patients on the antiviral drug #remdesivir recovered more than 30 percent faster than those on a placebo, a major US clinical trial showed - the first time a medication has been shown to improve outcomes against the novel #coronavirus
New York    ; john.doe      ; ANGLAIS 	; Facebook beats Wall Street estimates for quarterly revenue, sending shares up more than 8% after the bell https://reut.rs/2KHqpR5 $FB
Paris       ; rick.martin   ; ANGLAIS 	; Alarm clock12h : Un chef vient #CuisinerConfiné pour votre recette quotidienne Green salad Alarm clock13h : Le #COVID19 expliqué par @dmascret. Mais pour ça, il a besoin de VOS questions Double exclamation mark Dès 14h30 en DIRECT : les auditions des ministres
Paris       ; paul.martin   ; FRANCAIS	; Carte du déconfinement : la France se réconcilie avec ses départements  #FigaroVox
Paris       ; aadesh.patel  ; ANGLAIS 	; #BREAKING Spain has counted another 268 people who have died from the #coronavirus, the lowest daily number since March 20 as the country prepares to ease its tough lockdown measures
Paris       ; marc.martin   ; ANGLAIS 	; #BREAKING New #coronavirus not man-made or genetically modified: US intelligence
Paris       ; marc.henry    ; ANGLAIS 	; #BREAKING Russian prime minister says he has coronavirus
Hanoï  	    ; kim.lan 		   	; VIETNAMIEN	; Với đối tượng tương tự, bạn không cần phỏng đoán khi tìm kiếm đối tượng mới nữa
Saïgon  	 		; kim.lan 		   	; VIETNAMIEN	; #BREAKING vì tính năng này sẽ tự động tìm khách hàng mới tương tự như khách hàng hiện tại của bạn.
